,user_id,actual,predicted_ranking,precision
0,1,"[  821867   834484   856942   865456   889248   907957   914190   943316
   951954   954486   958046   962568   969231   971585   979707   986947
   990656   995242  1004906  1005186  1042083  1050310  1060819  1062002
  1064441  1069733  1074612  1082185  1131115  1132771  6534544 13876341
 15971874 17178953   883616   917704   931860   961554  1002032  1031190
  8090541  8293439  9297615  9527329 15926712  1049998   861272   869465
   877373   908213   933913   940947   945809   959316   978974  1031697
  1041796  1048918  1081189  1101422  1115576  1122428  1132231  1132814
  5577022  8091601  9296986  9677939 10356149 13417048 15741823 15830875]","[  856942  9297615  5577022   877391  9655212   888104  1082269  1088462
  1124029  8293439  9527558  9677939  8090541  8091601 12172170  6514011
   991024   962967   933913 12352054   995598   948640   936685   849066
 10308345  1087411   911454  1044487  1121694 12385374  7152319   826695
  1036852  9296837  5582712   979674  7441419  1104349   825123  7431134
   979792   985055   992986   835796  1131115   898121 10457591   983897
   971585 10285454]",0.6
1,3,"[  835476   851057   872021   878302   879948   909638   913202   920626
   958154   994891  1053690  1083328  1096727  6463658  7167218  7167249
  9526563  9526886 13842214]","[ 911974 1076580 1103898 5567582 1056620 9365106 1007414 1131634  978332
  947427  896666  898847  850601  820301  888988  843418 1081627 1056933
  862725  833598  988206  848471 1053924 9296957  988508 9416729  904236
 1110244  907099  847241  939789  976652 5577007  842769  837005 5590965
  945901 1040183  927360 1113820 1131625 1001277 7410341 1117358 9707240
 9676721 1123496 9653714 1066391  885023]",0.6
2,6,"[  920308   926804   946489  1006718  1017061  1078346  1104227  1108624
  1110392  1120741 13776852 17105539   825541   870315   873654   874149
   956672  1071939  5580166  6979393 14106553   909479  7431990  6553035
 12263667 13382461  1329768   820165   847270   849843   948650   997284
  1123407   897811 14111230   822812   840361   845208   995242  1015296
  1024306  1037863  1055911  1075214  1099058  7410170  9859082 12604482
 12731467 15863831 16733215   887325   921744  1040935  1119051  5569230
   843819   949142  1020683  1047193  1100691 10311503]","[ 6391541  1052294   891423   936470  1137010  1121367   834516   910109
   977374  1115098   939907  9677093  1056778   939860   930137  1093697
   822178  1004385   955867  1096728  8019916  1015280 12385477   838571
   923169  8118675  1090711  1079528 12386122   883932   846550  8068648
   835618  1104195   992151   908283   884597  1037965 12385373  1091520
 10282046  1075368 10149640   902172  5568447 12301073   846417  9835509
  1053754   921504]",0.6
3,7,"[  840386   889774   898068   909714   929067   953476   954543   976998
   993838   994928  1003188  1056418  1064054  1064441  1073224  1082185
  1106523  1108844  1110779  1122085  1122358  1126899  1135694  5571310
  5590695  6034857 10121622 10255525 10285022 10285186 12731506 14111027
 14111539 15452140 16809431   945909   966058   986912  1018769  1117035
   850841  1085476 12696020   822346   839747   847270   848268   860776
   861819   913201   938700   939900   961554  1001525  1004122  1055646
  1058997  1077703  1089990  5584202  5591154  6424447 15629769   823176
   855557   882830  1022003  5592610  9527455 15596285   822049   834484
   836281   843951   857503   861246   866211   875118   888835   889536
   896369   896709   916050   965705   994994  1006414  1010424  1013321
  1039360  1055504  1072483  1074172  5568378  5592931  6396566  6979808
  9420337 10285119 10456186 12386181 12647859 13039252 13112721 13417587
 13842160 13986923 14111294 15596516 15716073   898867   918771  1038184
  5589978 12487505]","[13003092   972416   995598   923600  1138596  1084036  9831557  1063207
  1078858  1108094   996269   875306 13002975  1048257  5567057 13115971
 12384953 10456152  8203834   985605  6979393   897088 12757544  9368501
  1037337   913671 10456613  1079395   819308  1123254  1126786  1027849
  1136657  1098844   851903   825541   878715  1065017 13115375   900802
  1034956  1058404  1051041  9524291   942166  1138854 12692332  1098284
  1092014  1087695]",0.6
4,8,"[  835098   872137   910439   924610   992977  1041259  5569230  5569471
  9337369  9337581 13071586 15629920   819255   823356   837579   839243
   840361   848319   858001   862070   868984   892618   905690   911812
   913425   914190   919180   920421   937573   939275   945805   946484
   953476   966103   969932  1012050  1012816  1043230  1048237  1070080
  1085095  1115801  1116578  1116671  1135096  5978656  7168968  8014645
  8181377  9297371 13115915 15926885 15926886 15971691   884897   893501
  1008074  1051211  6772795  9396767 16769882   826952   854405   859075
   863449   871252   883601   894406   895039   901062   909269   913808
   914868   919963   923746   930294   950977   996458  1004906  1005186
  1006027  1019751  1030836  1039589  1047619  1062966  1068957  1074333
  1076769  1077410  1082185  1086196  1135802  5578494  5584645  5585636
  5588238  6772634  7025250  7147176  8205218  9296856  9445671 12172239
 15596706 15717281 16223130   845208   862139   953561  1008650  1029743
  1119761  1132864  5584847 12131942 12172071 12330794 15452231 15452354
 15452644 15452833   822241   824555   825749   826239   835576   904023
   951674   956813  1085803  1110843  5564982  5567605  5582789  5585639
  5585735  5588666  5588942  5590287  5995985  7466806  8011282  8011285
  9420140  9488064  9803810 13115699 13115804 13115895 13115897 13213442
 13512717]","[  998519   894360  7147142  9338009   896666   939681  5570590  1118036
  1136033  6463482  6552318   985605   902640   870882  9859017 13213082
  6533878  9420048  9392700  1118547  1003524  1091793 10285022 10456164
   993838   949257   983316  9419422   930918   873980   966546   871513
   916575  1010051 10308345  1128333   928932  9835880  1062698   941515
   968732 10285335   990897  9803591  1076516   855350  1122358   946244
  1072494   851066]",0.6
5,9,[  864335   990865  1029743  9297474 10457112   889692   919427   995242],"[12808385   981660   939860  7410201  6463874   829722  5577022   849018
  1050645   921277   847374   962777  7409951   930385  1117602  1034838
  1018339  9677670 12352054  1016210  1095374  1021715   919963  5566809
 10282046  1028238  1044500  1014732   878636   834435   977559   859259
  1090507  1026209   914245 12172071   850834   981900   948381  6391134
  1088683  9859217  8116306   890620   962967  7410336 12172240  1090587
  1091158   981086]",0.6
6,13,"[ 6534178  1104146   829197   840361   862070   884897   886317   920308
   950439   981521   985178  1029743  1032549  1038985  1054688  1057315
  1068708  1082185  1100973  6551782  7409999  9859052 12263815 15827180
 16223404 17104578 17104769 17104993 17106016   850645   861174   923005
  1117539  1120256  1129312 12128605 12695858 13133916   902172   923746
   941734  1028953  1070105  1077600  1078385  1118987  1127624  6533184
  9368201 13133815  6773223   857736   890407   951590   953345   959821
  1014238  1021704  1041796  1043751  1048237  1051781  1069621  1069635
  1071939  1089954  1094371  1103741  1132280  1132771  5978648 13512204
 15927528   838186  1018954   838602   878996   890344   898466   904813
   951197  1024306  1115098  6773215 13130916  1131348   819614   826249
   915041   961021   995242 13776705 14025593   841549   856060   880417
   889107   977278   980727   992933  1034886  5978656 12301825 12428444
 13115579 15741662 16769806]","[  872146   918046  9655676   985622  1056005  8019755  1098910  9526278
 10456457  6632283  9677424   862799 12171886  5591103   941515 12172071
  1128244   851683  8019968  5568845  1109192  6039859   985605  5569303
  8019977  5570408  7144132  5568197   882190  1120559   949294   896085
   872762  6534030  9707240  1053754  1070497  1131438  1056509   902377
   893018  1070820  8090521  5569230  1029743  5707857  1106523   916122]",0.6
7,14,"[  840601   867293   933067   951590   952408   965693   981760  1008673
  1025611  1029743  1062966  1074271  1121384  1122358  1130858 13841744
 14025398 16770156  6979089   902377   912681   925205   953476   954922
   959985   967395  1039994  1040371  1123106  6979594 13876901 16766358]","[  965772  9488065 10342382  6554400 10308337   862070  1038985  7443137
   882089   898466   876232  1036495   894360  1069256  9485437  9858920
  1047686  7467039  9859111  7142552   886317   847434  1029688   922651
  1075007  1136375   843891   880228   961730   901397  1020962  9296837
  7167963   878222  8293440  8090653  1016709  6551861  1008288  6514259
  1114483  9392953   883268   882604   857736   865156   887744  5571176
   979674  1065129]",0.6
8,15,"[  910439  1082185   959076  1023958  1082310 13073175   828935   907392
  1055646  1082269   901062   962274   968215  1042697  1076881  1098248
  1092303  1106523  1132911 17105257]","[  902377   822161  1123106   874563  8090610 13876901   872066  1136755
  1129609   918046   988736   823255  5567325   829138  1130666   825538
  1026209   822115   913814  1127838  1048237  8067128  1063707   978294
  1013928   910673   980943   870843  1094190  6533765   857130  1007414
   917427   929231   856060  9796011  1038462  1024032 13072944   845914
  1075786   999076   962967  8249443  1007210  1088387   837005   990335
   995311  1025611]",0.6
9,16,[ 1062973  1082185 13007710],"[  823576  1052975  1053530  1071196  1034956  1010051 13073175   901656
  1091926  1024319   962777   879520   911614   907099  1060543  1025435
  1035584  1044207  1036093   863632   837864   937573  1088414   891654
  1042616   912739   879506 13841744   981370  1056212   963835  1082212
  1026118   845208  6632283  1059902   901666   933637   925862  1133254
  1135476  1041796  1028938  1070820  8090440  1122358   930118   952163
  1081177   910151]",0.6
